0,1,2,3,4,5,6,7,8,9,10,11,12,13
40.775,22.657,18.12,58.49,41.19,30.7,17.3,13.4,63.1,29.0,63.652,17.543,19.958,44.43
36.987,17.701,18.5,50.302,48.15,29.8,18.1,10.4,54.2,38.3,73.758,17.241,17.812,51.1
35.77,13.353,22.42,42.82,55.15,29.8,16.6,11.3,39.9,45.8,55.763,23.092,22.717,62.67
36.878,12.727,22.93,41.225,57.53,29.1,16.2,10.5,38.8,38.7,55.197,24.682,28.319,64.31
35.049,16.511,12.68,66.088,32.51,30.8,17.4,7.4,60.3,35.8,88.566,12.751,13.898,36.18
38.644,22.034,16.61,63.657,36.22,32.5,24.1,8.4,64.2,32.0,74.483,16.775,17.636,42.98
40.114,21.39,18.7,61.705,38.25,32.6,21.9,9.8,59.7,37.0,77.664,19.607,22.58,46.62
42.09,20.079,21.11,58.293,41.35,34.2,22.7,10.7,51.4,38.6,68.315,22.011,25.056,50.14
41.736,22.705,19.03,62.866,36.94,34.5,24.6,9.9,53.1,40.3,73.67,18.912,19.555,45.6
37.976,20.317,17.66,57.58,42.42,25.8,16.2,9.6,59.0,41.0,76.878,17.54,15.774,46.5
36.06,22.15,13.24,27.83,54.73,32.8,22.2,10.0,52.7,38.6,77.2,13.911,17.508,36.72
36.39,22.61,13.21,24.14,54.9,33.2,22.9,10.3,53.6,38.8,77.45,12.267,13.684,36.3
32.17,12.39,17.4,44.05,38.22,29.3,14.9,11.9,36.3,56.2,70.25,19.786,20.101,58.41
36.06,22.15,13.24,27.83,54.73,32.8,22.2,10.0,52.7,38.6,77.2,13.911,17.508,36.72
36.39,22.61,13.21,24.14,54.9,33.2,22.9,10.3,53.6,38.8,77.45,12.267,13.684,36.3
34.47,22.92,11.55,80.47,14.67,32.7,23.9,8.8,61.4,35.7,83.45,10.969,13.577,33.51
32.17,12.39,17.4,44.05,38.22,29.3,14.9,11.9,36.3,56.2,70.25,19.786,20.101,58.41
29.71,11.32,18.39,45.56,37.1,28.3,14.9,11.7,41.3,37.4,64.55,20.058,23.155,61.9
36.39,22.61,13.21,24.14,54.9,33.2,22.9,10.3,53.6,38.8,77.45,12.267,13.684,36.3
36.633,19.032,17.434,53.282,46.718,30.1,19.5,10.6,56.7,43.3,84.36,19.03,20.72,47.59
33.131,17.082,15.893,71.876,28.124,28.3,17.6,10.5,72.2,27.8,89.98,15.58,11.81,48.2
38.421,20.96,17.461,71.059,28.941,33.8,21.8,12.0,61.9,38.1,90.48,17.72,19.44,45.45
37.838,21.533,15.756,75.104,24.896,33.2,22.1,10.5,67.3,32.7,87.08,16.3,16.54,41.64
37.261,22.776,14.485,76.193,23.807,34.6,23.3,11.3,61.7,37.3,84.22,15.59,16.9,38.87
36.633,19.032,17.434,53.282,46.718,30.1,19.5,10.6,56.7,43.3,84.36,19.03,20.72,47.59
35.475,10.418,23.732,52.422,47.578,27.9,13.1,14.7,50.6,49.2,76.98,25.06,21.83,69.49
33.131,17.082,15.893,71.876,28.124,28.3,17.6,10.5,72.2,27.8,89.98,15.58,11.81,48.2
38.421,20.96,17.461,71.059,28.941,33.8,21.8,12.0,61.9,38.1,90.48,17.72,19.44,45.45
37.838,21.533,15.756,75.104,24.896,33.2,22.1,10.5,67.3,32.7,87.08,16.3,16.54,41.64
32.872,18.699,14.173,84.388,1.246,30.1,21.2,8.9,55.9,42.9,81.667,15.1,15.84,43.12
31.001,11.175,18.854,54.4,35.932,28.2,14.8,12.1,47.2,37.7,69.821,19.83,16.42,61.05
34.916,16.868,18.048,54.927,36.777,27.7,17.4,9.8,70.5,29.4,88.396,17.67,10.67,51.69
37.866,20.793,16.5,57.611,29.96,33.4,23.4,10.0,59.5,36.2,80.65,17.57,18.88,43.57
35.448,21.199,14.249,77.305,2.791,33.2,24.1,8.7,65.9,30.2,85.254,14.23,14.54,40.2
35.208,22.824,12.384,74.233,3.871,34.0,25.2,8.8,63.1,34.0,83.229,13.65,15.15,35.17
35.422,23.472,11.107,76.391,3.137,34.6,26.4,8.0,65.2,33.6,81.817,13.77,13.2,31.36
34.916,16.868,18.048,54.927,36.777,27.7,17.4,9.8,70.5,29.4,88.396,17.67,10.67,51.69
37.866,20.793,16.5,57.611,29.96,33.4,23.4,10.0,59.5,36.2,80.65,17.57,18.88,43.57
35.448,21.199,14.249,77.305,2.791,33.2,24.1,8.7,65.9,30.2,85.254,14.23,14.54,40.2
35.208,22.824,12.384,74.233,3.871,34.0,25.2,8.8,63.1,34.0,83.229,13.65,15.15,35.17
36.335,21.795,14.037,75.797,3.369,34.1,24.3,9.8,64.5,30.3,81.662,14.54,15.26,38.98
35.422,23.472,11.107,76.391,3.137,34.6,26.4,8.0,65.2,33.6,81.817,13.77,13.2,31.36
36.987,22.705,13.37,74.92,3.122,35.6,26.0,8.7,60.6,31.6,79.537,14.28,13.61,36.48
33.914,13.762,20.152,45.293,45.686,28.7,15.6,12.8,42.8,53.0,82.562,20.78,23.62,59.42
34.916,19.222,15.408,47.457,40.879,30.8,20.3,10.5,55.1,44.2,82.142,16.74,18.81,44.23
34.173,15.7,17.926,41.842,43.853,27.7,13.4,14.3,51.0,46.4,77.529,16.78,16.23,53.31
38.087,23.954,14.133,64.654,25.533,33.2,25.3,7.9,68.8,28.9,84.975,16.32,16.67,37.11
33.914,13.762,20.152,45.293,45.686,28.7,15.6,12.8,42.8,53.0,82.56,20.78,23.62,59.42
34.916,19.222,15.408,47.457,40.879,30.8,20.3,10.5,55.1,44.2,82.14,16.74,18.81,44.23
34.173,15.7,17.926,41.842,43.853,27.7,13.4,14.3,51.0,46.4,77.53,16.78,16.23,53.31
24.339,17.32,6.52,67.754,16.219,28.1,17.8,10.1,73.7,26.0,89.47,3.14,3.74,26.79
33.914,13.762,20.152,45.293,45.686,28.7,15.6,12.8,42.8,53.0,82.56,20.78,23.62,59.42
34.916,19.222,15.408,47.457,40.879,30.8,20.3,10.5,55.1,44.2,82.14,16.74,18.81,44.23
34.173,15.7,17.926,41.842,43.853,27.7,13.4,14.3,51.0,46.4,77.53,16.78,16.23,53.31
26.353,20.865,5.488,70.343,16.428,34.4,22.4,12.0,62.4,36.7,88.78,5.46,6.7,20.82
34.492,17.629,16.86,61.414,38.59,29.5,19.0,10.5,61.8,38.2,86.56,17.58,18.86,48.89
36.254,11.613,23.89,49.866,50.13,27.6,13.7,13.4,50.6,48.9,78.81,24.64,22.28,65.9
33.469,17.153,16.0,91.644,8.36,28.7,16.7,11.2,76.6,23.4,92.67,15.36,13.46,48.27
34.176,21.199,12.98,76.755,23.25,31.9,21.7,9.8,69.7,30.3,89.89,12.95,13.24,37.97
37.563,22.178,15.39,70.378,29.62,34.5,22.8,11.7,61.0,38.9,83.82,14.95,16.63,40.96
34.492,17.629,16.86,61.414,38.59,29.5,19.0,10.5,61.8,38.2,86.56,17.58,18.86,48.89
36.254,11.613,23.89,49.866,50.13,27.6,13.7,13.4,50.6,48.9,78.81,24.64,22.28,65.9
33.469,17.153,16.0,91.644,8.36,28.7,16.7,11.2,76.6,23.4,92.67,15.36,13.46,48.27
37.563,22.178,15.39,70.378,29.62,34.5,22.8,11.7,61.0,38.9,83.82,14.95,16.63,40.96
38.309,19.199,19.11,44.215,54.305,26.9,13.7,13.2,44.0,38.9,64.78,19.06,21.18,49.88
36.227,11.419,23.645,36.152,59.519,32.7,18.0,10.3,64.7,35.4,87.28,24.81,20.77,66.33
38.143,17.106,21.037,39.525,57.136,34.2,21.0,10.9,54.9,38.4,81.63,20.61,15.27,55.15
42.654,21.461,21.193,41.978,56.858,33.2,22.9,9.4,59.5,40.1,81.57,21.26,23.03,49.69
42.445,21.963,20.482,50.48,46.765,33.5,24.2,9.3,60.7,36.3,82.37,21.51,21.53,48.26
38.421,22.561,15.86,59.863,37.408,32.6,23.7,8.9,62.4,35.3,84.4,16.77,18.46,41.28
38.309,19.199,19.11,44.215,54.305,26.9,13.7,13.2,44.0,38.9,64.78,19.06,21.18,49.88
